intern_id,department,location,duration,mentor_meetings,status
1,Design,Washington,3,4,Dropped Out
2,Engineering,Texas,3,5,Completed
3,Marketing,Michigan,3,5,Dropped Out
4,Engineering,Michigan,3,10,Completed
5,Engineering,Washington,6,8,Completed
6,Web Dev,Illinois,3,6,Dropped Out
7,Marketing,Alaska,3,10,Completed
8,Marketing,Alaska,6,7,Dropped Out
9,Marketing,New Jersey,9,6,Dropped Out
10,Engineering,Michigan,6,5,Dropped Out
11,Design,Hawaii,3,5,Dropped Out
12,Marketing,California,3,3,Dropped Out
13,HR,California,9,7,Dropped Out
14,Engineering,California,3,10,Completed
15,Web Dev,New Jersey,6,5,Dropped Out
16,Design,Texas,3,7,Dropped Out
17,HR,New York,3,2,Dropped Out
18,HR,Michigan,9,9,Completed
19,Web Dev,Michigan,6,8,Dropped Out
20,Design,Hawaii,6,5,Dropped Out
21,Engineering,Alaska,3,2,Dropped Out
22,Data Science,Illinois,3,6,Completed
23,Design,Washington,6,8,Dropped Out
24,Web Dev,Alaska,6,7,Completed
25,HR,Texas,3,8,Completed
26,Engineering,Washington,3,4,Dropped Out
27,Design,Michigan,3,3,Dropped Out
28,Data Science,Texas,9,7,Completed
29,Data Science,Washington,6,2,Dropped Out
30,Marketing,Hawaii,9,5,Dropped Out
31,Marketing,Hawaii,3,7,Completed
32,Web Dev,Nebraska,9,1,Dropped Out
33,Design,New York,3,4,Dropped Out
34,Design,Hawaii,6,2,Dropped Out
35,HR,Michigan,9,6,Completed
36,HR,Illinois,3,1,Dropped Out
37,HR,California,3,7,Completed
38,Marketing,Nebraska,3,3,Dropped Out
39,Design,California,3,1,Dropped Out
40,Design,New York,6,8,Dropped Out
41,Data Science,Washington,6,7,Completed
42,Marketing,New Jersey,6,2,Dropped Out
43,Engineering,Hawaii,6,7,Dropped Out
44,Marketing,Illinois,6,3,Completed
45,Engineering,New York,3,9,Completed
46,Data Science,California,3,8,Completed
47,Web Dev,Nebraska,9,5,Completed
48,Design,Hawaii,3,7,Dropped Out
49,Data Science,Michigan,6,3,Dropped Out
50,Design,Hawaii,3,1,Completed
51,HR,Nebraska,6,1,Completed
52,Web Dev,Nebraska,6,2,Dropped Out
53,Web Dev,New Jersey,3,8,Completed
54,Data Science,Hawaii,3,1,Dropped Out
55,Web Dev,Hawaii,6,5,Completed
56,Engineering,New Jersey,3,9,Dropped Out
57,Web Dev,Texas,3,9,Completed
58,Design,Texas,6,2,Completed
59,Design,Washington,3,7,Completed
60,Design,Texas,9,1,Dropped Out
61,Design,Alaska,6,3,Dropped Out
62,Engineering,Hawaii,3,6,Completed
63,Marketing,Illinois,6,9,Completed
64,HR,Hawaii,6,10,Completed
65,Data Science,Alaska,3,2,Dropped Out
66,Design,Alaska,3,7,Dropped Out
67,Web Dev,California,3,4,Completed
68,Design,Hawaii,3,2,Completed
69,Web Dev,New York,3,3,Completed
70,HR,Alaska,3,6,Completed
71,HR,Illinois,3,10,Completed
72,HR,New Jersey,6,9,Completed
73,Web Dev,Washington,6,8,Dropped Out
74,Design,California,6,10,Completed
75,HR,New Jersey,6,9,Dropped Out
76,Engineering,California,9,4,Completed
77,Web Dev,Illinois,6,4,Completed
78,Web Dev,Nebraska,6,9,Completed
79,Design,Hawaii,3,8,Dropped Out
80,Web Dev,Michigan,9,2,Dropped Out
81,Web Dev,New York,3,8,Dropped Out
82,HR,New Jersey,3,1,Completed
83,Design,Hawaii,6,9,Completed
84,HR,New York,3,9,Dropped Out
85,HR,Nebraska,3,8,Completed
86,Design,Michigan,6,5,Completed
87,Data Science,New York,6,5,Completed
88,HR,New York,6,3,Dropped Out
89,Engineering,New Jersey,9,5,Dropped Out
90,Engineering,Texas,3,4,Completed
91,Web Dev,Michigan,3,1,Completed
92,Engineering,Hawaii,6,9,Dropped Out
93,Web Dev,Nebraska,3,10,Dropped Out
94,Data Science,Michigan,6,4,Completed
95,Design,Illinois,3,3,Dropped Out
96,Design,Texas,3,6,Completed
97,Design,Illinois,6,1,Dropped Out
98,Engineering,Nebraska,6,5,Completed
99,Data Science,New Jersey,6,7,Completed
100,Engineering,New Jersey,3,2,Completed
101,Engineering,Nebraska,3,10,Dropped Out
102,Data Science,California,3,9,Completed
103,Data Science,Nebraska,3,6,Completed
104,Data Science,Texas,3,2,Completed
105,Data Science,Alaska,3,8,Completed
106,Design,New Jersey,6,8,Dropped Out
107,Marketing,Washington,3,1,Completed
108,Marketing,Texas,6,1,Dropped Out
109,Data Science,Texas,9,1,Completed
110,Marketing,Texas,3,4,Completed
111,Marketing,New York,3,4,Completed
112,Data Science,Texas,3,8,Completed
113,Marketing,New Jersey,6,1,Dropped Out
114,Engineering,Alaska,3,10,Completed
115,Web Dev,Alaska,3,3,Completed
116,Web Dev,Texas,6,1,Dropped Out
117,Data Science,Illinois,3,9,Completed
118,Design,New Jersey,6,10,Dropped Out
119,Data Science,New Jersey,6,9,Completed
120,Design,Michigan,6,7,Dropped Out
121,Web Dev,Hawaii,3,8,Completed
122,Data Science,California,9,1,Completed
123,HR,California,6,5,Completed
124,Engineering,Illinois,3,2,Dropped Out
125,Marketing,California,3,1,Completed
126,Design,Michigan,3,3,Dropped Out
127,HR,Nebraska,9,7,Dropped Out
128,Marketing,California,9,1,Dropped Out
129,Marketing,New Jersey,6,2,Dropped Out
130,Data Science,Nebraska,9,2,Completed
131,Marketing,California,3,4,Completed
132,Engineering,New Jersey,3,3,Completed
133,HR,New Jersey,9,3,Dropped Out
134,Marketing,Texas,6,10,Completed
135,Data Science,Alaska,3,5,Completed
136,Engineering,Illinois,6,3,Completed
137,Web Dev,Michigan,9,7,Dropped Out
138,HR,New York,6,5,Completed
139,Marketing,Hawaii,9,4,Completed
140,Data Science,California,6,3,Completed
141,Web Dev,California,3,4,Dropped Out
142,Web Dev,Nebraska,9,2,Dropped Out
143,Design,Nebraska,3,1,Dropped Out
144,Engineering,Hawaii,9,3,Dropped Out
145,Marketing,California,3,2,Dropped Out
146,Data Science,Washington,6,1,Dropped Out
147,Design,Michigan,3,1,Dropped Out
148,Engineering,California,3,2,Dropped Out
149,Design,Alaska,3,9,Dropped Out
150,HR,Hawaii,9,5,Dropped Out
151,Engineering,Washington,9,9,Completed
152,Engineering,Michigan,3,8,Completed
153,Marketing,California,9,6,Dropped Out
154,Engineering,New York,9,1,Dropped Out
155,Design,Texas,6,10,Completed
156,Engineering,Alaska,3,5,Completed
157,Marketing,New York,9,1,Dropped Out
158,Marketing,Nebraska,6,7,Completed
159,HR,Nebraska,9,10,Dropped Out
160,Design,California,9,8,Dropped Out
161,Web Dev,Nebraska,9,8,Dropped Out
162,Web Dev,Alaska,6,7,Completed
163,Engineering,Michigan,3,2,Dropped Out
164,HR,New Jersey,3,5,Dropped Out
165,Data Science,Illinois,3,4,Completed
166,Engineering,Hawaii,3,5,Dropped Out
167,HR,Michigan,6,10,Completed
168,Design,New Jersey,6,9,Completed
169,Design,Washington,9,4,Dropped Out
170,Design,Alaska,3,8,Completed
171,Design,New York,6,8,Dropped Out
172,Design,New Jersey,3,2,Dropped Out
173,HR,Alaska,3,6,Completed
174,HR,Texas,3,5,Completed
175,Marketing,New York,6,2,Dropped Out
176,Web Dev,Nebraska,3,10,Completed
177,Design,Nebraska,6,4,Dropped Out
178,Data Science,New York,3,7,Completed
179,HR,Washington,9,1,Dropped Out
180,Data Science,Washington,9,9,Completed
181,Data Science,Washington,9,10,Completed
182,Data Science,New Jersey,9,1,Dropped Out
183,Marketing,Hawaii,9,5,Completed
184,HR,New Jersey,9,7,Dropped Out
185,Data Science,California,6,8,Completed
186,Design,Illinois,3,2,Completed
187,Engineering,New York,3,4,Completed
188,Data Science,Michigan,3,2,Completed
189,Marketing,Illinois,6,4,Dropped Out
190,HR,Texas,6,6,Dropped Out
191,Marketing,New Jersey,9,6,Dropped Out
192,Data Science,New Jersey,9,2,Completed
193,HR,Alaska,3,4,Dropped Out
194,Engineering,Illinois,6,4,Dropped Out
195,Data Science,Alaska,9,1,Dropped Out
196,Marketing,Michigan,3,2,Dropped Out
197,Web Dev,Alaska,6,3,Dropped Out
198,Design,Illinois,3,5,Dropped Out
199,Marketing,New York,6,8,Completed
200,HR,Texas,3,6,Completed
201,Data Science,New Jersey,9,3,Dropped Out
202,Design,Michigan,6,6,Completed
203,Data Science,New Jersey,3,7,Completed
204,HR,California,3,6,Dropped Out
205,Data Science,Texas,3,10,Completed
206,Web Dev,Hawaii,9,6,Dropped Out
207,Design,Alaska,6,1,Dropped Out
208,Design,Nebraska,3,3,Dropped Out
209,HR,Illinois,3,7,Completed
210,Web Dev,New Jersey,6,4,Dropped Out
211,Marketing,Alaska,6,4,Completed
212,Data Science,Michigan,6,7,Completed
213,Engineering,New Jersey,3,9,Completed
214,Data Science,Hawaii,6,2,Dropped Out
215,Data Science,Texas,6,9,Completed
216,Marketing,Texas,9,3,Dropped Out
217,Data Science,New Jersey,9,6,Completed
218,Web Dev,Michigan,6,4,Completed
219,Web Dev,Texas,6,1,Dropped Out
220,Design,Texas,3,9,Dropped Out
221,HR,Hawaii,9,6,Completed
222,Engineering,Illinois,3,8,Completed
223,Data Science,Michigan,3,2,Dropped Out
224,Data Science,Michigan,3,7,Completed
225,Marketing,New York,9,6,Dropped Out
226,HR,New York,3,2,Completed
227,Web Dev,Texas,3,2,Completed
228,Engineering,Nebraska,3,4,Completed
229,Design,New York,3,4,Dropped Out
230,Web Dev,Texas,3,3,Dropped Out
231,HR,Washington,9,8,Dropped Out
232,Design,California,9,7,Completed
233,Marketing,California,3,2,Dropped Out
234,Marketing,Michigan,9,3,Dropped Out
235,Data Science,Nebraska,6,10,Completed
236,HR,Hawaii,3,9,Completed
237,Engineering,Illinois,6,5,Completed
238,Design,New York,9,2,Dropped Out
239,Web Dev,Washington,3,3,Dropped Out
240,HR,Texas,3,8,Completed
241,HR,Nebraska,9,4,Dropped Out
242,Marketing,Michigan,6,2,Dropped Out
243,Data Science,New York,3,2,Completed
244,Data Science,Nebraska,6,6,Completed
245,Design,New York,6,8,Dropped Out
246,Marketing,Illinois,9,7,Completed
247,HR,Illinois,6,4,Completed
248,Engineering,Hawaii,3,2,Completed
249,Marketing,California,6,9,Completed
250,Design,Alaska,6,4,Dropped Out
251,Design,Alaska,3,9,Completed
252,Marketing,New York,6,5,Completed
253,Design,Hawaii,9,7,Dropped Out
254,Marketing,Alaska,3,5,Completed
255,Web Dev,Michigan,6,2,Dropped Out
256,Marketing,Alaska,3,6,Dropped Out
257,Marketing,New Jersey,3,7,Dropped Out
258,Design,Texas,3,6,Dropped Out
259,Design,Hawaii,3,3,Completed
260,Data Science,Michigan,9,10,Completed
261,Data Science,Nebraska,3,8,Completed
262,Web Dev,Michigan,6,3,Dropped Out
263,Data Science,California,3,5,Completed
264,Marketing,Nebraska,9,9,Completed
265,Design,Washington,6,5,Dropped Out
266,Data Science,Texas,6,7,Completed
267,Data Science,Texas,3,7,Completed
268,Web Dev,Texas,3,5,Completed
269,HR,Texas,3,2,Completed
270,Web Dev,New York,9,5,Completed
271,Marketing,Texas,3,7,Completed
272,Design,Texas,6,7,Dropped Out
273,Web Dev,Texas,6,4,Completed
274,Data Science,Hawaii,3,1,Completed
275,Design,New York,6,6,Dropped Out
276,Design,Illinois,6,3,Dropped Out
277,Data Science,Michigan,6,5,Completed
278,Web Dev,Michigan,3,4,Completed
279,Data Science,Nebraska,3,2,Completed
280,HR,Hawaii,3,7,Completed
281,Design,New Jersey,9,5,Dropped Out
282,Engineering,Michigan,6,7,Dropped Out
283,Engineering,Alaska,3,9,Completed
284,Marketing,New Jersey,9,4,Completed
285,Data Science,Texas,3,5,Completed
286,Data Science,Texas,9,9,Completed
287,Marketing,New York,9,10,Completed
288,Marketing,New Jersey,9,4,Completed
289,Marketing,Alaska,9,5,Dropped Out
290,Design,New York,3,5,Completed
291,HR,Nebraska,3,8,Completed
292,Data Science,New Jersey,6,4,Completed
293,Design,Hawaii,3,4,Completed
294,Marketing,Texas,3,7,Completed
295,Data Science,Texas,6,5,Dropped Out
296,Design,California,3,6,Completed
297,HR,New York,9,6,Dropped Out
298,Design,Illinois,9,6,Dropped Out
299,HR,Illinois,9,10,Dropped Out
300,Marketing,New York,6,5,Dropped Out
301,HR,Hawaii,9,5,Completed
302,Data Science,Washington,9,9,Completed
303,Marketing,New York,6,8,Completed
304,Data Science,Hawaii,3,4,Completed
305,Engineering,Nebraska,9,7,Dropped Out
306,Web Dev,Texas,9,8,Completed
307,HR,Alaska,3,9,Completed
308,Web Dev,Washington,3,5,Completed
309,Web Dev,New Jersey,6,3,Dropped Out
310,HR,Washington,3,4,Completed
311,Marketing,Alaska,9,10,Completed
312,Engineering,California,9,6,Dropped Out
313,Data Science,Texas,3,10,Completed
314,Design,Illinois,6,5,Dropped Out
315,Data Science,Hawaii,3,9,Completed
316,Design,New York,6,3,Dropped Out
317,Data Science,New York,3,2,Completed
318,HR,Illinois,6,6,Dropped Out
319,Engineering,Washington,3,7,Dropped Out
320,Design,Texas,3,5,Dropped Out
321,Marketing,Michigan,3,1,Dropped Out
322,Data Science,Hawaii,3,3,Completed
323,Data Science,Nebraska,6,3,Completed
324,Design,Alaska,3,4,Completed
325,Marketing,Washington,6,10,Dropped Out
326,Marketing,New Jersey,9,6,Dropped Out
327,HR,California,9,5,Completed
328,HR,New York,9,1,Completed
329,HR,Washington,9,6,Completed
330,HR,California,3,9,Completed
331,HR,Alaska,3,1,Completed
332,HR,New York,6,8,Completed
333,Engineering,New York,9,8,Completed
334,Marketing,Michigan,9,3,Dropped Out
335,HR,Washington,3,9,Completed
336,Marketing,Texas,3,8,Completed
337,Marketing,Illinois,3,3,Completed
338,Web Dev,Illinois,6,10,Dropped Out
339,Engineering,Nebraska,6,5,Completed
340,HR,New Jersey,3,3,Completed
341,Data Science,California,3,5,Completed
342,Design,Washington,6,9,Completed
343,Data Science,Hawaii,6,4,Completed
344,Engineering,New Jersey,3,6,Completed
345,Design,Michigan,9,3,Dropped Out
346,Engineering,New York,6,3,Dropped Out
347,Marketing,Texas,9,5,Dropped Out
348,Design,Washington,9,8,Dropped Out
349,Marketing,New Jersey,3,8,Completed
350,Data Science,New Jersey,3,3,Completed
351,Data Science,Texas,6,8,Completed
352,Design,Nebraska,3,8,Completed
353,Design,California,9,3,Dropped Out
354,HR,California,6,10,Completed
355,Engineering,New Jersey,9,10,Dropped Out
356,HR,Alaska,3,2,Dropped Out
357,Engineering,New Jersey,3,10,Completed
358,HR,New Jersey,6,2,Dropped Out
359,Marketing,Texas,3,9,Completed
360,Design,New York,6,7,Completed
361,Data Science,Texas,9,6,Completed
362,Engineering,Washington,3,7,Dropped Out
363,Engineering,New Jersey,6,8,Completed
364,Data Science,California,3,1,Dropped Out
365,HR,Hawaii,3,8,Completed
366,Engineering,California,9,3,Dropped Out
367,Marketing,Illinois,9,3,Dropped Out
368,Design,Nebraska,6,6,Dropped Out
369,Data Science,Michigan,9,4,Dropped Out
370,Design,Washington,6,4,Completed
371,Engineering,Washington,3,4,Completed
372,Engineering,Nebraska,3,10,Completed
373,Data Science,Hawaii,9,9,Completed
374,Marketing,Michigan,3,8,Dropped Out
375,Web Dev,New York,6,3,Completed
376,Data Science,New Jersey,6,1,Completed
377,Web Dev,Michigan,6,1,Completed
378,HR,Hawaii,3,1,Dropped Out
379,Web Dev,Alaska,3,4,Dropped Out
380,Marketing,Illinois,3,6,Completed
381,HR,Michigan,6,4,Dropped Out
382,Web Dev,Michigan,6,3,Dropped Out
383,HR,Illinois,6,8,Completed
384,Web Dev,New Jersey,6,8,Completed
385,Marketing,Michigan,3,6,Completed
386,Web Dev,Illinois,9,9,Completed
387,Web Dev,Illinois,6,10,Completed
388,Web Dev,Illinois,3,1,Completed
389,Data Science,Texas,3,8,Completed
390,Data Science,Hawaii,9,6,Dropped Out
391,Data Science,Texas,9,1,Dropped Out
392,Marketing,Alaska,3,4,Dropped Out
393,HR,New York,6,5,Dropped Out
394,Engineering,Texas,3,7,Completed
395,Web Dev,Texas,3,8,Completed
